ip,games_played,highest_level,minutes_played,research_time_level1,research_time_level2,research_time_level3,research_time_level4,research_time_level5,research_time_level6,protection_percent_level1,protection_percent_level2,protection_percent_level3,protection_percent_level4,protection_percent_level5,protection_percent_level6,reflection
188.204.40.241,6.0 to 10.0,4.0 to 5.0,42.0 to 69.0,-11.0 to 8.0,-33.0 to -11.0,-13.0 to 17.0,-13.0 to 17.0,n/a,n/a,-15.0 to 1.0,-13.0 to 3.0,-2.0 to 6.0,-4.0 to 2.0,n/a,n/a,"Risk Horizon Game: Short Essay.
Â 
The role of risk management in the
game was to ensure that the creation and subsequent development of an Alien
town, was not ruined by a major risk (incoming asteroids). Thus, whilst
developing the town, risk management was essential in order to not ruin the
development. Many things had to be taken into account, and preparing for these
possible risks was crucial. 
Â 
The first choice I made was to obtain
at least basic insurance, as this would protect the development. Common
trade-off were between protection and insurance. I would ultimately make sure I
was insured, but always try to use the protection bar as much as possible. The
more I was prepared, the easier it was to deal with the effects of asteroids. Thus,
development actually become a lot easier. For instance, the researching the
potential threat of the asteroids aspect enabled me to prepare more, and
enabled me to make educated decisions about what I should do. Thus instead of
acting on pure conjecture, I could actually make approximations to how exactly
the asteroids would affect my development. 
Â 
After the first game, I realised the
importance of this. I had not researched the threats of the asteroids so much
before. After the first game though, I did. This allowed me to plan a lot more
extensively and appropriately. 
Â 
I live in the Netherlands. So instead of asteroids, the risk would be
based around flooding. Thus, risk management would revolve around predicting
and dealing with flood risks. 
"
77.102.89.246,10.0 to 66.0,2.0 to 3.0,42.0 to 69.0,8.0 to 29.0,12.0 to 35.0,n/a,n/a,n/a,n/a,-15.0 to 1.0,-37.0 to -13.0,n/a,n/a,n/a,n/a,"Risk management was central to the game. Because each of the different risk management techniques required resources, their use had to be traded against development gains. Each of the risk management techniques also had to be balanced, in terms of the time and resources needed to activate the protection. It was all too easy to get caught out with unprotected costs at the end of the stage, with little time to undertake repairs! The immediate affect on development was slower growth and upgrading. In the longterm, it allowed for progression to the next stage by protecting gains.I played the game more than once. As I played, I understood the role of research better. My approach become this: identify comet, get one or two research points, if it looks like a high risk comet then I continued to research while accumulating funds. I also increased insurance levels.Â I learned from the game the importance of planning ahead, and with information, developing a short term protection strategy and building up buffers to recover from the shock. I also learnt of the capriciousness of the disaster events. Sometimes, despite the best laid plans, your development goals can still be missed.The game has been developed with a single threat and a single measure of development. While this is a simple model of development, I think it would be interesting to add a second type of threat (helping to represent the complex nature of risks to development) or a range of development factors that need to be considered together in unison. For instance, education, health and wealth of the inhabitants of the community. Perhaps the governance of the community could be an additional facet of the game? Different forms of governance could present new barriers, or make certain types of protection more effective. For instance, community support networks could be more effective where a strong civic sense has been created or where governance is responsive to citizens demands."
87.212.87.92,3.0 to 6.0,5.0 to 6.0,24.0 to 42.0,29.0 to 62.0,35.0 to 53.0,38.0 to 48.0,35.0 to 44.0,17.0 to 36.0,n/a,-15.0 to 1.0,3.0 to 13.0,6.0 to 14.0,-14.0 to -4.0,-12.0 to -5.0,n/a,"REFLECTION OF RISK HORIZON GAMEThe objective of this game is to develop
a â€˜societyâ€™ on an island. As the decision maker in this game the challenge is to
balance the development of society with managing the risk for meteor impacts.
Risk management in this game embodied the trade-off between spending money on
protection and insurance against the effects of meteor impacts, on research on
the chance and severity of the meteor impacts and on the development of society
by building and expanding houses. Each choice had an impact on the other.
Protection meant less chance on the risk of meteors actually hitting the
island, insurance meant financial support when an impact did happen and
research led to more understanding of the risk and therefore more time to
accurately prepare for it.Placing
this game in the frame of the last few lectures helps understanding the
theoretical concept of risk management. Effective risk management in this game
meant mitigating the damage of property (thus losses) and developing society
(thus the benefits). This clearly reflects the goal of risk management. In
order to achieve that objective, risk management in this game is more than just
preparing for the risk by protection and insurance. This aspect really
reflected that preparing for the risk doesnâ€™t mean it wonâ€™t happen anymore, you
still need to be able to cope with the risk. In this game coping with the
aftermath also impacted the development of society and the level of success in
the game. Playing the game multiple times has
allowed me to learn from previous mistakes in the allocation of money.
Developing society meant less money towards protection and insurance and vice
versa. However, sound spending of money on protection, insurance and research
meant more opportunity for solid development. Understanding the reciprocity
between these trade-offs led to sound decision-making in the allocation of
money in order for society to develop despite of the risks of meteor impacts.
If I could change anything it would be
the use of insurance in the game. Now it is a â€˜one-time-onlyâ€™ decision per level.
But it should reflect the changes in the development of society more as it does
in real life. More property value means more insurance premium. This evolvement
isnâ€™t reflected in the game. Therefore I would suggest to change insurance so
it isnâ€™t sufficient anymore if the property value has increased too much. This
allows for a better understanding of insuring your property for its actual
value against risks.Â Overall, I appreciate this game as a valuable means for understanding the different concepts of risk management and applying these concepts in real life."
190.162.8.219,6.0 to 10.0,3.0 to 4.0,24.0 to 42.0,-11.0 to 8.0,35.0 to 53.0,38.0 to 48.0,n/a,n/a,n/a,-28.0 to -15.0,-13.0 to 3.0,-50.0 to -14.0,n/a,n/a,n/a,"For me, the
Risk Horizon Game is a good instrument to understand in a practical way, Â the main concepts of Risk Management presented
in Chapter 1 and 2 of the World Development Report 2014, representing a
situation of systemic risk of being impacted by a comet shower.The role of
the risk management described is not only reducing the negative effects of the
risk, but increasing the positive effects, serving as a tool for development.The game presents Â in a very simplified way the Risk Management Model,
conformed by Â two phases: the Preparation
or â€œex anteâ€ù phase and the Coping or â€œex postâ€ù phase Â and Â three components: Knowledge (actions to
improve understanding of possible shocks and their potential outcomes);Â  Protection (actions to reduce the probability
or magnitude of losses from negative shocks, or to increase gains from positive
shocks); and Insurance (actions to transfer resources from good to bad times,
or to those most in need in bad times), showing the inverse interrelation
between the two phases and the necessity of having a good balance between the
three components to achieve a virtuous circle. It also demonstrates
that the decisions about Risk Management are based in a cost/benefit criteria,
depending on the relative prices of the different options available and the
size of the future shock and the probability of its occurrence.As well as, the game presents the matter of the obstacles for risk management, specifically, the financial constraint.Also, it demonstrates that mismanaged risks originate severe consequences and that proactive
risk management is the right way for managing risks.Finally, the
game shows that Risk Management is a continuous process of learning and
correcting, what I experienced by myself each time I played the game.The only change
I would propose to better represent the risk management choices in the actual world
would be to introduce obstacles to Risk Management strategies, conformed by
government failure (lack of public resources, coordination failure, among
others).Â Â 
Â "
59.165.151.3,3.0 to 6.0,5.0 to 6.0,42.0 to 69.0,29.0 to 62.0,12.0 to 35.0,17.0 to 38.0,17.0 to 35.0,-2.0 to 17.0,-36.0 to 1.0,1.0 to 12.0,-13.0 to 3.0,6.0 to 14.0,-14.0 to -4.0,-5.0 to 2.0,-3.0 to 3.0,"1)The game has an inbuilt system wherein one can find the
chances if a comet is going to hit or not and what would be the severity of the
hit. This gives the user a change to manage the risk. The user can conduct a
research every time since the comet shows on the horizon. 
The list on the comet gives the player an idea about the
severity of hit and chances of the comet hitting. This gives the player a
chance to build a strategy in terms of research and protection . A comet having
no chance of a hit can be avoided and the resources can be directed to the
building of pods.
2)I played the game several times. In the first go I could
not save the pods, hence I just enumerated the mistakes I made in that turn. In
the subsequent turns,
Â·Â Â Â Â Â Â Â Â 
I researched the comet as and when it appeared
on the horizon. This gave me chance to protect my pods after the comet had hit.
In the first turn, I concentrated on building the pods majorly. This kept the
ticker green but a hit is all it takes. So in order to have some protection
time after the hit, I used the research ticker in the game. Hence in the turns I
took at the game, I learnt to hedge the risk by knowing the details and chances
of a cometâ€™s hit
Â·Â Â Â Â Â Â Â Â 
I bought insurance just well in advance so that
at end if I donâ€™t have enough resources to buy insurance I should get into any
kind of trouble. Insurance reduces the anticipatory damages that are caused by
these comets. An insurance helped me a lot in subsequent turns I took. It
reduced amount of resources needed for the rebuilding of pods. This helped me
in keeping the ticker green.
Â·Â Â Â Â Â Â Â Â 
To hedge the risk I protected my Â pods by raising the level of the land."
190.131.126.228,10.0 to 66.0,3.0 to 4.0,69.0 to 435.0,-38.0 to -27.0,-47.0 to -33.0,-52.0 to -37.0,n/a,n/a,n/a,22.0 to 68.0,23.0 to 54.0,14.0 to 49.0,n/a,n/a,n/a,"herramienta,Â que permite explorar los conocimientos adquiridos en cuanto a la gestiÃ_n del riesgo, aplicÃ¡ndolosÂ en una situaciÃ_n hipotÃ©tica que permite vincular las destrezas adquiridas en cuanto a las acciones y los componentes de la gestiÃ_n del riesgo.A su vez, la ambientaciÃ_n de este juego simula un shock exÃ_geno que puede llegar a ser capas de desestabilizar el entorno macroeconÃ_mico de la comunidad, sin embargo, el juego posibilita aplicar medidas para salvaguardar la comunidad, permitiendo estabilizar el nivel de desarrollo en Ã©pocas de crisis, en el juego estas medidas son representadas con los paquetes de seguros. AdemÃ¡s, esta herramienta permite explorar la capacidad de anÃ¡lisis y en la facilidad de toma de decisiones en situaciones difÃ_ciles, con la particularidad de mantener el horizonte del costo beneficio y las oportunidades de desarrollo sujetas al riesgo.Â El juego simulaÂ la aplicaciÃ_n de medidas macroeconÃ_micas que incentivanÂ un nivel de desarrollo tanto en infraestructura como en la comunidad en si misma, sin embargo como se ha destacado anteriormente este desarrollo esta ligado a la capacidad de resistir shocks como desastres naturales, sin incurrir en altas perdidas, en LatinoamÃ©rica  un caso especifico sin duda ha sido el caso chileno. Dentro de este contexto, conforme se ha venido analizando en este curso, la prevenciÃ_n y el estudio de posibles shocks permiten mitigar los efectos negativos de los shocks, esto mediante el acceso a la informaciÃ_n, esta permite difundir los riesgos de posible desastres naturales, mediante la destinaciÃ_n de un porcentaje del PIB al cuidado y la prevenciÃ_n de zonas vulnerables a desastres naturales.A su vez, en cuanto a la prevenciÃ_n y disminuciÃ_n de los efectos negativos de los shocks naturales, si bien no existe manera de desviarlos o impedir que ocurran es factible mitigar su efecto tanto en las edificaciones como en los habitantes de las zonas afectadas. Un caso negativo que evidencia el impacto de la falta de prevenciÃ_n en la ultima dÃ©cada ha sido HaitÃ_ donde un fuerte terremoto sacudiÃ_ su comunidad, causando severos daÃ±os humanos, en este paÃ_s la falta de planificaciÃ_n y prevenciÃ_n de los posibles desastres junto con una situaciÃ_n de pobreza y falta de atenciÃ_n de salubridad, nutriciÃ_n multiplicÃ_ los efectos del desastre natural. Por otra parte, la otra cara de la moneda es visible en Chile, paÃ_s altamente vulnerable a los sismos donde se viviÃ_ un terremoto mas severo al vivido en HaitÃ_, sin embargo por su cultura preventiva y por su entorno macroeconÃ_mico, este paÃ_s logro superar los efectos del shock sin mayores complicaciones  lo mas importante sin mayores perdidas humanas.  Finalmente, en cuanto al juego resulta muy interesante y didÃ¡ctico el poder aplicar las destrezas adquiridas en este curso con este tipo de herramientas, donde mediante una situaciÃ_n simulada es posible analizar el riesgo de una comunidad mantenido el horizonte del costo beneficio y la bÃºsqueda de desarrollo sujeta a un nivel de riesgo.Â "
75.189.192.251,10.0 to 66.0,5.0 to 6.0,69.0 to 435.0,29.0 to 62.0,12.0 to 35.0,17.0 to 38.0,17.0 to 35.0,-2.0 to 17.0,n/a,-15.0 to 1.0,-13.0 to 3.0,-14.0 to -2.0,-14.0 to -4.0,2.0 to 12.0,n/a,"I see game as being about how decisions made impact lives,
and shows that risk management can help lessen the effects of shocks. The aim
seemed to be to show that you need to choose the best risk management options
to allow for the most development. I had the best results when my focus was on
development initially, and then added knowledge, protection and insurance as I
had time, although sometimes there didnâ€™t seem to be enough time for
development as there were too many comets. The timer had quite an impact on my
choices, the nearer the end of the round the more likely I was to spent
resources on conserving what I had built up in order to hit the qualifying level.
Overall in terms of the game, risk management slowed down development, and only
proved its worth when a shock occurred. I think this highlights one of the
challenges in the real world, in that it is hard to persuade people that the
money/time/resource is well spent until after a shock occurs, until that time
the money is in effect â€˜wastedâ€™.
I played that game multiple times and changed how I played
it to see what would happen. Seems like having cash in the bank always makes
things easier, from recovering after a hit to investing in knowledge, protection
and insurance. The main things I learned were that it is easy to forget about
risk management (once or twice I got carried away with building the pods), that
knowledge is very useful that it could be deemed a waste of money (for the
shocks that had little impact or missed completely), and that the
infrastructure is great if you can afford it. For me level one is the hardest
in that you are least prepared or able to handle the shocks, and I considered
that higher levels to be where the more developed countries are. 
I live in the US, and the main natural shocks are likely to
be related to hurricanes. From my perspective the game needs some additional
chance factor. This would represent the different political interests in the
decisions that would be made in the game. Just because it seems to make sense
to spend the money, there are other views, and in my version of the game
sometimes just because I wanted to complete an action, I would be outvoted and
nothing would happen."
59.10.144.24,2.0 to 3.0,5.0 to 6.0,24.0 to 42.0,-11.0 to 8.0,12.0 to 35.0,17.0 to 38.0,-13.0 to 17.0,-2.0 to 17.0,n/a,22.0 to 68.0,23.0 to 54.0,14.0 to 49.0,-14.0 to -4.0,12.0 to 37.0,n/a,"The role of risk management in
this game was fairly clear. The player of the game was asked to balance between
development and the safety concerns of this virtual community. In order to pass
each level of the game, the game asked that the players to reach a certain
level of development goal. If this goal was not reached, the player lost the
game. Likewise, if the buildings faced damage due to falling asteroids, the
players also lost the game. In terms of knowledge, the players were given the
option to research the planet by clicking on the planet. Through this, the
players were able to assess the level of damage and the probability of the
asteroid hitting the planet. Through this, the players were able to set up a
method of protection or insurance by either raising the platform that the
cities were placed on or by purchasing insurance plans that covered parts of
the repair. However, protection and insurance did take a toll, meaning that it
did affect the rate of development. This meant that if the player played too
cautiously and did not effectively allocate the fund, the player would not be
able to reach the development goal in order to pass the level. 
Â 
I played the game twice in order
to reach level four. For me, the second trial needed me to try and properly
manage the funds between protection and development. When a devastating
asteroid was about to impact on our planet, I purchased to heavily on the
insurance plan in order to make sure that I will be able to cover the repair
cost. However, this method proved to be unsuccessful by the third level as the
gameâ€™s difficulty increased. The high investment in insurance plans did not
seem to be cost efficient as the impact of some asteroids resulted in no
damage. Also, this hindered my development process, causing me to ultimately
lose the game. 
Â 
I was in charge of modifying the
game in order to raise the difficulty and make it seem more realistic, I would
add new feature, where the users need to deal with unforeseen problems of the
development such as construction delays or natural disasters. These problems
will help the users fully understand the difficulty of risk management and help
the game be more realistic in order to help the users to be more prepared for
real world situations. This addition can really help to reflect the situation
of my country, South Korea, where there have recently been frequent cases of
disasters such as the recent Seowol Ferry incident where many Koreans perished.
Other incidents have happened such as Seowol, which have not only cost to
innocent lives, but also have claimed the national economy by slowing down
incident related services.Â "
203.31.52.162,2.0 to 3.0,4.0 to 5.0,15.0 to 24.0,-11.0 to 8.0,-33.0 to -11.0,17.0 to 38.0,-13.0 to 17.0,n/a,n/a,1.0 to 12.0,13.0 to 23.0,-2.0 to 6.0,2.0 to 11.0,n/a,n/a,"This game focussed on the role of risk management in
averting damage and preventing setbacks. The virtual community was damaged and
production lost if the appropriate risk management measures were not taken in
order to protect against damage cause by comets. In order to protect the community, decisions were required toÂ be madeÂ relating to trade-offs
between preparing for risk and investing in the development of the community. Preparing
for risk involved the development of protective measures, each of which played
a vital role in the development of a sound risk framework:
1.Â Â Â 
â€˜Knowledgeâ€™ assisted in the understanding of
shocks and the potential outcomes of a comet hit;
2.Â Â Â 
â€˜Protectionâ€™ directly assisted in reducing the
probability and magnitude of loss should a comet hit; and
3.Â Â Â 
â€˜Insuranceâ€™ allowed for the transfer of
resources during good times to assist during bad times so that recovery from a
hit was a lot easier and efficient.
In a sense, â€˜knowledgeâ€™ helped before the comet hit, â€˜protectionâ€™ helped during the crisis and â€˜insuranceâ€™ assisted in recovery after a shock. I found that if I was
prepared on all these three levels, I was able to easily recover immediately
after an adverse development.The first time I played the game, I did not place as much
importance on research as I did playing the second time. In focussing a little
more on research, I was able to more effectively protect from the comets and
have more time to recover from a hit. This made quite a noticeable difference
to my overall risk management and allowed me to advance a further 2 levels
compared to my first try.
Overall, the primary lesson I learnt from the game was that
risk management as a preventative measure is vital. Preparing communities for
crises before they happen and investing in what may sometimes seem â€˜low pay-off
activitiesâ€™ (such as research), can substantially help reduce damage and
improve recovery in adverse situations. 
The game also allowed me to experience first-hand (on a
small scale) certain behavioural obstacles to effective risk management. For example,
thoughts such as â€œthereâ€™s a comet coming with high severity and low chances of
hittingâ€_I doubt it will affect meâ€ù ran through my mind during game play. Â Such thoughts illustrate the tendency for
humans to become overly self-confident and downplay the chances/effects of
adverse scenarios. 
One simple thing I would change would be to add one other
risk element to the game besides the comets (e.g. add the risk of alien
invasion?). Whilst sometimes communities are confronted with one key risk in
their region, often it is the case that they are susceptible to a risk of
multiple (sometimes quite large) adverse events. For example, regions in rural
Australia are susceptible to both flood and bushfire risk, depending on the season.
Such communities need to considerÂ trade offs, not only between how much they should
invest in risk protection overall, but also how much to invest in protecting
from each type of risk they are
exposed to. 
"
49.205.91.239,2.0 to 3.0,3.0 to 4.0,15.0 to 24.0,-27.0 to -11.0,-33.0 to -11.0,-37.0 to -13.0,n/a,n/a,n/a,12.0 to 22.0,13.0 to 23.0,6.0 to 14.0,n/a,n/a,n/a,"The entire game revolved around managing risks
and making decisions that were pertinent to keep the development of pods going. The rationale of
the game was to make sure that the development reaches at a prescribed stage and in order to reach that goal choices have to be made in managing the risks which
were depicted as comets in the game. The resources had to be utilized in a way
that balanced all the major components of the game i.e the development, protection, knowledge and insurance. Striking that balance between these components and taking timely and informed decisions was the core of the game. 
I followed the strategy of focusing on the
development first so that it reaches some desired level. After that the focus
shifted to protecting the pods by the way of insurance as well as increasing
the height. Simultaneously care was taken in upgrading the pods to ensure the
development is not seeing red. The research provided a lot of information that
helped in preparing for the strike, if the chances of hitting and severity of a
comet was low focus was on development and if both were high the focus shifted
to become resilient to, as well as coping with the disaster. Also it was made
sure that even if the severity or chances of a hit were low a certain level of
protection was always there as one cannot be sure of shocks.
I played the game multiple times because during
initial trials I was not able to strike a balance between the aforementioned
components and ended up either being focused on development or protection.
Playing it several times helped me in analyzing where I was going wrong and
helped me in dealing with them in later attempts.The experience gained form the
previous attempts helped me in coming up with a better strategy in my last
attempt that helped me in reaching the fifth level of the game. 
The game should have definitely taken into
account the amount of resources that a person/community/country can afford in
managing the risks they face. A choice/random assignment of curator having
varied amount of resources should have been allotted to bring in the effect of
lack of resources that might hinder even the foundation work for managing the
risks that they might face.If asked to summarize my learning in three major pointsÂ  after playing the game many times, they would be:Plan: Ad hoc development without proper research and estimation of resources can prove to be a disasterManage: Managing the resources and utilizing them to the maximum is the keyPrepare: Always be prepared for shocks, sometimes they may miss, but they would strike when least expected, so be on your toes"
212.96.12.234,0.0 to 2.0,3.0 to 4.0,0.0 to 15.0,-27.0 to -11.0,-47.0 to -33.0,-52.0 to -37.0,n/a,n/a,n/a,1.0 to 12.0,-13.0 to 3.0,-14.0 to -2.0,n/a,n/a,n/a,"In this game, one never knows when a comet will appear, how many comets will appear and which one will hit. Risk management was important in the sense that it helps one to develop the city at a steady pace whilst withstanding hits with limited resources.In playing the game, I started development at a slow pace up to a point before protecting the development, purchasing insurance and researching on the comet. I then left sufficient funds to repair damages made after a comet hit.The trade off was made between pursuing new development and reserving resources to rebuild in case of a hit.If I played the game once, I would have built a little more faster than before and used more protection so that when the comet hits the damage will me minimal.Â The valuable lesson learnt from this game is that for every development activity that is undertaken, it is imperative to put mitigation measures in place against adverse risks that may occur. On the other hand if one is too cautious, development may be slowed down. One must develop resilience but must also push forward to make good use of opportunities.The game can be improved by giving people a wider range of options to chose from to mitigate the risk such as different types of protection and different types of knowledge gained (research)"
179.223.108.15,10.0 to 66.0,4.0 to 5.0,69.0 to 435.0,-27.0 to -11.0,-47.0 to -33.0,-52.0 to -37.0,-56.0 to -40.0,n/a,n/a,-15.0 to 1.0,-13.0 to 3.0,-14.0 to -2.0,2.0 to 11.0,n/a,n/a,"This game at first seems to be very confusing and silly. However after analyzing and playing it a few times, I discovered some tricks and how to do better. These tricks can be called ""planning"". I at first I hired insurance (first level of Â coverage as it seems price wise fair in comparison to others) to cover possible losses and to increase speed of recovery and reconstruction. Doing the analysis on the comet help me to know when to increase the size or height of the island, so that impact could be lower on the pods. It really helped me reach the 4th level. Risk management role on that game is the base on how to move to next level, on how to prevent harmful destruction of the island and the protection of the investment made on it.Â Since it was of common knowledge that the island of was under the attack of comets that could destroy partially or completely the pods and the investment, it was imperative to find ways to protect it, to minimize impact ( specially when comets had high impact possibility that could be found out when researching it) Â and keep funds available to finance then Â a quick reconstruction of the damages.Â It was also clear that increasing the size of the island was not imperative, since after reaching the goal, when triggering the increase button, no power was drained, only cash. So major tasks on the game were:1 - build the podsÂ 2 - insure the islandÂ 3 - research the comments to analyse impactÂ 4 - maintain available cash for reconstruction of island and to invest in developing the podsÂ 5 - increase island sideIf was to change somethings on the game, I would give more power to increasing the island height. Building solid structures, specially in terrains where the possibility of acts of God are high, is imperative, and should always come first, as the example of California and Japan where the buildings are prepared for earthquakes of enormous magnitudes. Â I live in Brazil, so disasters here are not common, but floods, such as one that happened in the state of Santa Catarina a few years ago, when their plan of Emergency preparedness was Zero and no contingency plan. Insurance companies lost millions on that episode due to bad risk assessing from the government that should consider the floods, our game comets. It was a very interesting experience.Â "
178.155.243.128,10.0 to 66.0,5.0 to 6.0,69.0 to 435.0,-11.0 to 8.0,-11.0 to 12.0,-13.0 to 17.0,-13.0 to 17.0,-2.0 to 17.0,n/a,1.0 to 12.0,3.0 to 13.0,14.0 to 49.0,2.0 to 11.0,-5.0 to 2.0,n/a,"
For me, the role of risk
management was to find the right balance between protection, research,
insurance and fund for development. One must keep an eye on all of the aspects
in order to secure the safety and prosperity for his society. The main tradeoff
that I faced was obviously the delay in the pods development due to resource
allocation for disaster preparedness. However I found that trough research you
can identify and allocate the optimal amount of money to either insurance or
protection. So in my second game I have paid more careful attention to research
and then based on the facts I made my decisions where to allocate funds- to
protection, insurance or both.
As stated before, after my first
game I have tried to base my decisions on facts provided by research. This paid
off, since I was able to allocate resources for disaster protection more
efficiently and therefore I had more money for development of the community. In
the first game I also tended to neglect the comets with low severity or chance
to hit, in some cases the comets hit my village and they rarely did damage to
the community, but it is a wise idea to be prepared for this little disasters
with insurance or, saved cash for repairs, because despite that the disaster is
of a low severity, it causes damage and thus a delay in development. A fact,
which could be easily managed and mitigated. Again, it is of crucial importance
to find the right mix of all the variables, since if you invest in some aspect
inefficiently this will directly affect the performance of the other elements
in the game. The main things I learned are that a society can be self-dependent
on risk management and that decisions must be made on exact data in order to
optimize the spending mix. Good inter society connections allow the
participants to mitigate the consequences of the disaster with low or next to
zero cost.
The one thing that I would add to
the game would be a fund with saved money, which must be used only to cope with
the consequences of a disaster. The accumulated amount can be given for
development at the end of the next level. This will act as an insurance, but
the money can stay in the society and, if not used then they can contribute to
development. 
"
94.228.207.199,0.0 to 2.0,0.0 to 2.0,0.0 to 15.0,-38.0 to -27.0,n/a,n/a,n/a,n/a,n/a,1.0 to 12.0,n/a,n/a,n/a,n/a,n/a,"1. The role
of risk management in the game was to find the balance between the resources in
disposal for enveloping the infrastructure system and their costs in face of
coping shockâ€™s afterwards. Â It was necessary
to combine the capacity to prepare in advance with an ability to cope
afterwards. 
In the
first line I paid attention to the protecting measures to lay the first stone
in the colony safety.
Then I took construction measures and insured my buildings. Certainly it was
very necessary to do it time-bound and under the taking researching of comets. 
Like in a
real life the whole development of the colony was possible only in complex
trade-off-measures. It was very necessary to research an approximate cycle of
planet life to understand the cycle behavior for â€œpredictingâ€ù the investment
sequence. After the comet-damage the cycle began again for taking protecting and developing measures.
Â 
2. If you
played the game only once, it would for me hardly possible to understand the
planet life cycle system and then to develop my strategy. My first playing was
devoted to get the play rules and to get some experience in planet life-cycle.
The main things I learned from the game, was to understand, that a rapid
development without (long term) investment in protection, knowledge, insurance
and coping the afterwards is impossible.
3. For
better representing the risk management choices that matter in the place I live,
I would propose to integrate the weather and seasons changing, that could influence
the behavior of player, the objects and magnitudes in combining with the risk
evaluation, shocks depth and coping measures.
"
202.4.59.3,3.0 to 6.0,5.0 to 6.0,42.0 to 69.0,8.0 to 29.0,12.0 to 35.0,-13.0 to 17.0,17.0 to 35.0,-2.0 to 17.0,n/a,1.0 to 12.0,13.0 to 23.0,-2.0 to 6.0,-14.0 to -4.0,-12.0 to -5.0,n/a,"I played the game a couple of times and interestingly got so caught up in the intellectual exercise of it that I am writing this with only a few minutes left to the deadline. It reminds me that it is important to keep in mind all the real world consequences of our decision making. As a development practitioner it is very easy to get too caught up in the intellectual exercise of ""the game"" without thinking about actual impact on lives. I'm not saying the abstract is unimportant it's just important to get that balance right. The first time I played the game I maxed out on insurance coverage every time which allowed me to develop and protect the development of the pods up to a certain point. All of my pods developed to a a level three of four until the funds for developing them further ran out. The second time I played the game I over corrected and didn't buy insurance in the early rounds preferring to rely on research and some high water protection to protect the pods. Again this worked well until a certain level when all of my pods became heavily damaged and there was not enough funds left to repair them in time to meet the development goals. The main thing that I have learned from the game is the level of complexity involved in making these simple decisions. There are only a few variables in the game at the moment and it is still complex to manage get the balance right. The other thing I learnt is that it is important to be always doing something in risk management. In spite of myself I sometimes found myself buying insurance, building up protection and then sitting back and watching to see how it all unfolds rather than remembering toÂ  continue the research process. If I were developing a new version of the game I would try to add some sort of representation of democracy or the governance process into the mix. I'm not entirely sure how yo would do this, maybe introduce a citizen satisfaction meter which would drop if you failed to mitigate a major disaster or spent too little on development. If it dropped below a certain point you would be thrown out of office or there would be a revolution. "
24.84.165.75,0.0 to 2.0,3.0 to 4.0,0.0 to 15.0,-38.0 to -27.0,-33.0 to -11.0,-37.0 to -13.0,n/a,n/a,n/a,-15.0 to 1.0,-13.0 to 3.0,-14.0 to -2.0,n/a,n/a,n/a,"The role of risk
management in the game Risk Horizon was to minimize the impact of the oncoming
meteors.Â  Several options were available,
including purchasing insurance, researching and raising the level of your city.Â  Each of these approaches were available in
different quantities, and there is a need to balance each approach or they are
disproportionately expensive.Â  For
example, insurance requires an upfront payment which hinders your ability to
upgrade your city for greater production.Â 
Raising your city also has problems if done excessively, it is very
expensive to raise the level very high in comparison to the damage wrought by
the far and few meteors that may get past a regularly raised city.
I played the game
twice.Â  The first time, I was under the
impression that insurance would damage my production too severely and
underestimated what a significant discount repairing would be if insurance was
bought.Â  As a result I only upgraded
production and raised the level of my city in an attempt to avoid all incoming
meteors.Â  I was more successful when I
balanced the raising of the city with the insurance.Â  I raised the city to roughly 5 or 6 bars and
any impact that was higher would simply have the damage repaired.Â  I purchased either the 33% or 50% insurance
only.Â  As a result, I approached this
with the equimarginal principle in mind, to reduce damage by approaching it in
different ways.
If I were asked to
improve this game, I believe that the â€œcopingâ€ù or repair mechanism could be
elaborated.Â  I questioned whether I should
repair a building when another comet was to strike soon and decided against
it.Â  I think there may be a good argument
for people who would partially repair, knowing well that another disaster will
strike soon, just to return to some form of production without the expense of
entirely repairing a building."
178.48.233.122,0.0 to 2.0,5.0 to 6.0,15.0 to 24.0,29.0 to 62.0,35.0 to 53.0,38.0 to 48.0,35.0 to 44.0,36.0 to 40.0,30.0 to 33.0,12.0 to 22.0,3.0 to 13.0,-14.0 to -2.0,11.0 to 38.0,2.0 to 12.0,-13.0 to -3.0,"There were two scarce
resources in the game: time and money, and there were several alternative
measurements, so the player should make decisions and suffer from trade-offs.
For example, one should make researches but in the same time on cannot increase
protection, and so on. One can be successful in this game if he/she can apply
the risk management framework to this given situation. The player should find a
sustainable and manageable balance between building (give up some money now to
earn more later), prevention (research, increasing protection, insurance) and
cure (repairing). There was a serious problem that made choices and decisions
harder: the time lag between decision and effect, also contaminated with uncertainty.
In the first round I
tried to apply an old economic golden rule: specialization. I only increased
protection and did not pay attention to research or insurance. This old golden
rule failed: I reached the fourth level but not the fifth. Then I changed my tactic
and tried another one: gain knowledge, then increase protection, and if it is
necessary, get an insurance shortly before the shock. It was successful, I
could finish the game.
If I should change one
thing my choice would be the alteration of uncertainty, I would increase it. I
am of the opinion that the player has too much information about the shocks, I
wouldnâ€™t give (or make it more and faster varying in time) information about
the chance of hit or the severity. 
"
